Name,Price,Market Cap,Volume(24h),Circulating Supply
Bitcoin,"$45,317.96",$851.51B,"$35,044,407,964","18,789,693 BTC"
Ethereum,"$3,065.20",$359.10B,"$26,678,158,295","117,152,223 ETH"
Binance Coin,$402.51,$67.68B,"$2,697,304,206","168,137,036 BNB"
Cardano,$2.02,$65.00B,"$4,192,338,591","32,127,658,676 ADA"
Tether,$1.00,$64.08B,"$89,654,385,350","64,056,734,131 USDT"
XRP,$1.12,$52.21B,"$7,710,194,827","46,417,606,117 XRP"
Dogecoin,$0.3027,$39.63B,"$5,736,305,815","130,909,449,761 DOGE"
USD Coin,$1.00,$27.52B,"$3,623,803,757","27,507,258,756 USDC"
Polkadot,$24.19,$23.88B,"$2,851,515,752","987,076,356 DOT"
Solana,$68.58,$19.64B,"$3,810,802,583","286,437,772 SOL"
