No.,Youtube trending,Details
1,India Claim Thrilling Win! | England v India - Day 5 Highlights | 2nd LV= Insurance Test 2021,":19.5M Views, :585.7K Likes, :11.8K Dislikes, :34.5K Comments "
2,#BheemlaNayak - First Glimpse | Pawan Kalyan | Rana Daggubati | Trivikram | Saagar K Chandra,":12.8M Views, :853.2K Likes, :20.2K Dislikes, :86.6K Comments "
3,Pawandeep ने Finally जीत ली Indian Idol की Trophy | Indian Idol Season 12 | Greatest Finale,":7.9M Views, :225.5K Likes, :9.4K Dislikes, :10.8K Comments "
4,Mann Bharryaa 2.0 – Official Video | Shershaah | Sidharth – Kiara | B Praak | Jaani,":18.8M Views, :0.9M Likes, :8.6K Dislikes, :50.2K Comments "
5,Leaving YouTube For Instagram Reels | My Journey,":3.5M Views, :502.9K Likes, :4.6K Dislikes, :28.3K Comments "
6,1959 | Official Teaser | Round2hell | R2H,":3.2M Views, :433.7K Likes, :3K Dislikes, :23.4K Comments "
7,PM Modi inspects the Guard of Honour at Red Fort on 75th Independence Day,":4.6M Views, :77.7K Likes, :16.2K Dislikes, :4.4K Comments "
8,अफगानिस्तान के वाइस प्रेसिडेंट अमरुल्लाह सालेह ने खुद को केयरटेकर राष्ट्रपति घोषित किया,":499.3K Views, :8.3K Likes, :380 Dislikes, :704 Comments "
9,After Finale Masti with Aashish Kulkarni || Pawandeep Rajan || Mohd Danish and Nihal Tauro and all,":1.6M Views, :0 Likes, :0 Dislikes, :1.7K Comments "
10,Filhaal 2 Mohabbat | Sad Love Story | HeartQueen | Akshay Kumar | BPraak | Latest Sad Song 2021,":545.7K Views, :3.3K Likes, :699 Dislikes, :131 Comments "
11,Siraj’s memorable spell wins it for India | Eng V Ind 1st test,":782.1K Views, :37.6K Likes, :1.1K Dislikes, :1.8K Comments "
12,Aakhiri shoot of Indian Idol 2020 Mohd Danish & Shanmukha Priya || Sayali kamble || Arunita kanjilal,":627.8K Views, :0 Likes, :0 Dislikes, :535 Comments "
13,WHO KNOWS ME BETTER PART 2 | BROTHER VS BROTHER | BABY QUEEN | Rimorav Vlogs presents RI Vlogs,":1.5M Views, :182.1K Likes, :3.2K Dislikes, :11.9K Comments "
14,Taliban seize power in Afghanistan as President flees country - BBC News,":6.8M Views, :84.6K Likes, :5.3K Dislikes, :37.1K Comments "
15,Hathyar 2 (Full Video) | Gippy Grewal | Navpreet Banga | Happy Raikoti | Bal Deo | Laddi Gill |,":4.7M Views, :130.4K Likes, :2.7K Dislikes, :22.9K Comments "
16,SCHOOL LIFE - ( 15 August Special ) || Rachit Rojha,":6.6M Views, :157.9K Likes, :17.7K Dislikes, :15K Comments "
17,Kohli's India conquers Lord's. Michael Vaughan and Harsha Bhogle react,":627.8K Views, :13.5K Likes, :274 Dislikes, :1.3K Comments "
